,city,name,address,id,rating,type,user_ratings_total,place_id,lattitude,longitude
0,Rowland Heights,Kang Ho-Dong Baekjeong,"18900 Gale Ave Ste A, Rowland Heights, CA 91748, United States",686501546f3ddc25cf9743b134102c7ab3954e60,4.5,"restaurant, food, point_of_interest, establishment",383,ChIJQxAX5Fkqw4ARGQ3mYqIB2lo,33.9946577,-117.8903429
1,Rowland Heights,Casa Alvarez,"19744 Colima Rd, Rowland Heights, CA 91748, United States",de8862dce047850f918400ef7a4b8e97eaf667a2,4.5,"restaurant, food, point_of_interest, establishment",297,ChIJwR_yrwQrw4ARXEbnKVCZju0,33.9856424,-117.8711728
2,Rowland Heights,Sun Nong Dan,"18902 A, Gale Ave, Rowland Heights, CA 91748, United States",ebe0da042a07cc89cf9e460baa6a7fe9bf4b1f27,4.4,"restaurant, food, point_of_interest, establishment",351,ChIJ1RxzYlcqw4ARecpXa0OOKk8,33.9947623,-117.8897133
3,Rowland Heights,Little Shanghai Restaurant,"18457 Colima Rd, Rowland Heights, CA 91748, United States",68086c89fc4d5ed016a4f229318387d7a99fd8d2,4.3,"restaurant, food, point_of_interest, establishment",62,ChIJ03nYHmAqw4ARCg6Jmh22OJo,33.9894008,-117.9032506
4,Rowland Heights,Earthen Restaurant,"1639 S Azusa Ave, Hacienda Heights, CA 91745, United States",ab800207bc9ee64dc29cf52590d81d20661d36ff,4.1,"restaurant, food, point_of_interest, establishment",193,ChIJHfvCC4_VwoARO-k9Cfq5jUg,33.9923861,-117.9334366
5,Rowland Heights,Frisco's Carhops Diner,"18065 Gale Ave, City of Industry, CA 91748, United States",ca7121335ef04321db9adefaf85f549578b08dac,4.3,"restaurant, food, point_of_interest, establishment",453,ChIJEWGsu2Uqw4ARIsoDoo9fjtA,33.9952219,-117.9092926
6,Rowland Heights,Northern Cuisine,"17515 Colima Rd A, City of Industry, CA 91748, United States",204bf151b634133694d756a6eaaefce713296aca,4.4,"bar, restaurant, food, point_of_interest, establishment",97,ChIJ20CcaXgqw4ARIrB8AiL8g28,33.991607,-117.923815
7,Rowland Heights,BJ's Restaurant & Brewhouse,"17615 Castleton St, City of Industry, CA 91748, United States",1391234ba191b69fe6e9e4338fc730949a46369e,4.3,"restaurant, bar, food, point_of_interest, establishment",1027,ChIJnSrW_3kqw4AR1lhNZ7PZcNA,33.9944794,-117.9191791
8,Rowland Heights,Newport Tan Cang Restaurant,"18441 E Colima Rd, Rowland Heights, CA 91748, United States",4ac7b5b4e691031fe1c3c8b54d69be1ecea6e775,4.0,"restaurant, food, point_of_interest, establishment",327,ChIJ7UETH2Aqw4ARQQ3GI9Ax7r8,33.9888987,-117.9031267
9,Rowland Heights,In-N-Out Burger,"21133 Golden Springs Dr, Diamond Bar, CA 91765, United States",7d33f116ff58d40f726d140f49b39efab2638df1,4.5,"restaurant, food, point_of_interest, establishment",734,ChIJPS4ihHcrw4AR0CFX7IOz_Q8,34.000498,-117.843455
10,Rowland Heights,Mansun Japanese Restaurant,"21190 Golden Springs Dr, Walnut, CA 91789, United States",b60da15ac7b6087e7776d2cb7307a489589055c9,4.3,"restaurant, food, point_of_interest, establishment",189,ChIJLUR8qnkrw4ARsXvXB0CTqPE,34.0004217,-117.8419622
11,Rowland Heights,Pho Rowland Vietnamese Restaurant,"18910 Gale Ave, Rowland Heights, CA 91748, United States",d414a39da7f00b84d4e8b49867d0b14adf14f108,4.5,"restaurant, food, point_of_interest, establishment",172,ChIJh6qu_Vkqw4AR3K19wAmUmuo,33.9953029,-117.8903412
12,Rowland Heights,OoToro Sushi Japanese Restaurant,"1569 Fairway Dr, Walnut, CA 91789, United States",b0796d2254a660375c99f85c57391e55e195e595,4.5,"restaurant, food, point_of_interest, establishment",194,ChIJF1WxigQrw4ARVKR_LUkR5OI,33.9883074,-117.8707402
13,Rowland Heights,Banana Bay Restaurant,"18230 Colima Rd, Rowland Heights, CA 91748, United States",b98f2c4cfbd8446f6f2a664c165682c1def7f484,4.2,"restaurant, food, point_of_interest, establishment",840,ChIJ-yLG7WEqw4ARvhBSisy8R_g,33.9881418,-117.9065073
14,Rowland Heights,Happy Harbor Seafood Restaurant,"1015 Nogales St, Rowland Heights, CA 91748, United States",47cd1feead39fc8418c59660a974086baf6bf99b,4.1,"restaurant, food, point_of_interest, establishment",363,ChIJb5oTGloqw4ARpZCAmFnBB58,33.9970959,-117.8901565
15,Rowland Heights,Benihana,"17877 Gale Ave, City of Industry, CA 91748, United States",c7fcd007a770d36d2a52d3b3a2706cd4ed65204b,4.3,"restaurant, food, point_of_interest, establishment",1044,ChIJn4i1oHoqw4ARU_AvuIAAbUE,33.995479,-117.914296
16,Rowland Heights,Seafood Village,"1463 Nogales St, Rowland Heights, CA 91748, United States",aa12c8baa45bce237f35a9a746531e5e0bee71b5,3.8,"restaurant, food, point_of_interest, establishment",569,ChIJSWc7KPgqw4ARuccIJTpdKK0,33.9903433,-117.8902504
17,Rowland Heights,Mikasa Restaurant,"19849 Valley Blvd, Walnut, CA 91789, United States",7c5f66c56f2577f999a1b92b95c34562f0538f6d,4.6,"restaurant, food, point_of_interest, establishment",308,ChIJ6S7BvK8rw4ARHjffZ4wBSL4,34.0051489,-117.8680761
